92,-20,90
88,-44,83
85,-58,82
86,-51,84
89,10,-7
90,-28,88
89,-36,86
57,92,-57
84,17,-4
55,91,-48
52,82,-7
92,-20,88
56,93,-58
55,87,-37
79,24,-1
53,86,-28
53,77,-4
54,69,20
50,77,38
54,88,-38
53,84,-18
51,80,3
46,73,20
51,79,15
43,83,-79
46,85,-74
50,88,-69
33,58,13
50,78,27
48,78,-13
28,52,20
19,42,6
14,36,-1
53,90,-63
29,55,-5
23,46,26
25,50,-12
9,29,4
14,35,12
20,50,-47
25,56,-51
18,46,-37
16,42,-26
15,39,-14
86,-57,77
76,42,-28
52,74,17
24,47,13
23,52,-41
27,56,-34
85,-64,81
85,20,-14
87,-44,85
53,82,-17
41,81,-84
21,46,-19
86,-45,-13
83,-82,79
84,-74,78
84,-70,81
87,-40,-12
89,-29,-9
68,62,-40
35,78,-93
38,79,-89
47,76,-2
24,48,0
29,65,-69
34,71,-72
51,85,-44
22,54,-56
20,43,-6
14,43,-43
4,21,-2
83,-77,80
80,-36,-22
30,75,-103
31,75,-101
32,76,-99
8,28,13
33,77,-96
31,69,-77
36,75,-81
29,59,-45
22,49,-30
9,31,-9
83,-74,80
62,78,-49
92,-20,85
30,75,-102
27,67,-84
26,63,-73
32,67,-64
26,53,-23
24,58,-65
17,47,-52
83,-80,79
83,-80,68
24,66,-89
14,50,-69
5,25,-16
34,66,-48
33,73,-85
21,61,-82
22,61,-80
24,62,-77
19,52,-61
14,46,-57
11,41,-48
83,-81,79
84,-69,35
8,39,-54
11,45,-61
5,32,-45
17,51,-65
27,70,-96
28,71,-94
4,18,6
15,-5,22
18,56,-75
21,57,-69
15,50,-67
12,38,-32
11,34,-21
2,20,-35
12,-23,18
20,56,-72
12,45,-60
9,36,-39
4,-9,6
9,40,-52
7,31,-28
22,-17,30
20,-30,28
21,-25,29
6,34,-43
